Data_padrao;Granularidade;Valor
2004-01-01;Total Brasil;26978358.020000007
2004-02-01;Total Brasil;26508170.77
2004-03-01;Total Brasil;27284329.41
2004-04-01;Total Brasil;28046182.351
2004-05-01;Total Brasil;27244506.479999997
2004-06-01;Total Brasil;27082961.48
2004-07-01;Total Brasil;27346004.67
2004-08-01;Total Brasil;27656857.789999995
2004-09-01;Total Brasil;28232451.24000001
2004-10-01;Total Brasil;28556120.939999998
2004-11-01;Total Brasil;28367124.049999997
2004-12-01;Total Brasil;28562106.43
2005-01-01;Total Brasil;28375437.441
2005-02-01;Total Brasil;27838480.970000003
2005-03-01;Total Brasil;28598631.509
2005-04-01;Total Brasil;29355501.910000008
2005-05-01;Total Brasil;28482150.61
2005-06-01;Total Brasil;28326181.920000013
2005-07-01;Total Brasil;28322317.11999999
2005-08-01;Total Brasil;28764354.809000008
2005-09-01;Total Brasil;29335128.080000013
2005-10-01;Total Brasil;29145312.05000001
2005-11-01;Total Brasil;29287617.219999995
2005-12-01;Total Brasil;29505146.070000004
2006-01-01;Total Brasil;28880910.62
2006-02-01;Total Brasil;29383486.499999996
2006-03-01;Total Brasil;29897827.73
2006-04-01;Total Brasil;29887953.01
2006-05-01;Total Brasil;28925038.559999995
2006-06-01;Total Brasil;29068797.599999998
2006-07-01;Total Brasil;29113809.229999997
2006-08-01;Total Brasil;29886236.06
2006-09-01;Total Brasil;29916630.53900001
2006-10-01;Total Brasil;30143525.320000004
2006-11-01;Total Brasil;30531121.359999992
2006-12-01;Total Brasil;30493979.03000001
2007-01-01;Total Brasil;30699704.0
2007-02-01;Total Brasil;30324669.0
2007-03-01;Total Brasil;31312900.0
2007-04-01;Total Brasil;32030744.0
2007-05-01;Total Brasil;31382917.0
2007-06-01;Total Brasil;30766760.0
2007-07-01;Total Brasil;30500299.0
2007-08-01;Total Brasil;31181133.0
2007-09-01;Total Brasil;31735736.0
2007-10-01;Total Brasil;32135735.0
2007-11-01;Total Brasil;32654491.0
2007-12-01;Total Brasil;32304926.0
2008-01-01;Total Brasil;31855946.27
2008-02-01;Total Brasil;31730940.65
2008-03-01;Total Brasil;32118714.86
2008-04-01;Total Brasil;31952656.29
2008-05-01;Total Brasil;32299963.39
2008-06-01;Total Brasil;31742987.79
2008-07-01;Total Brasil;32150352.03
2008-08-01;Total Brasil;33013528.63
2008-09-01;Total Brasil;32964086.69
2008-10-01;Total Brasil;33673777.379999995
2008-11-01;Total Brasil;33410166.51
2008-12-01;Total Brasil;31559278.49
2009-01-01;Total Brasil;30666661.8
2009-02-01;Total Brasil;30495142.71
2009-03-01;Total Brasil;31977749.51
2009-04-01;Total Brasil;32042792.8
2009-05-01;Total Brasil;30945452.9
2009-06-01;Total Brasil;30715169.95
2009-07-01;Total Brasil;31324991.23
2009-08-01;Total Brasil;32262205.6
2009-09-01;Total Brasil;32716665.81
2009-10-01;Total Brasil;33419533.14
2009-11-01;Total Brasil;33616820.2
2009-12-01;Total Brasil;34123194.7
2010-01-01;Total Brasil;33360460.71
2010-02-01;Total Brasil;33729757.75
2010-03-01;Total Brasil;35116881.82
2010-04-01;Total Brasil;35025860.489999995
2010-05-01;Total Brasil;34296978.0
2010-06-01;Total Brasil;34169459.0
2010-07-01;Total Brasil;33849349.0
2010-08-01;Total Brasil;34713394.230000004
2010-09-01;Total Brasil;35182271.010000005
2010-10-01;Total Brasil;35188924.99
2010-11-01;Total Brasil;35077981.26
2010-12-01;Total Brasil;35956439.4
2011-01-01;Total Brasil;35873744.260000005
2011-02-01;Total Brasil;35444916.66
2011-03-01;Total Brasil;36350690.05
2011-04-01;Total Brasil;36048318.05
2011-05-01;Total Brasil;35565987.39
2011-06-01;Total Brasil;35159573.72
2011-07-01;Total Brasil;35417292.620000005
2011-08-01;Total Brasil;36335812.84
2011-09-01;Total Brasil;36965189.34
2011-10-01;Total Brasil;36743770.38
2011-11-01;Total Brasil;36368389.77
2011-12-01;Total Brasil;36741948.78
2012-01-01;Total Brasil;36305167.29000001
2012-02-01;Total Brasil;36900531.02
2012-03-01;Total Brasil;38623110.72
