Data_padrao;Regiao;Valor
2004-01-01;Nordeste;548438.4199999999
2004-01-01;Norte;129277.37
2004-01-01;Sistemas Isolados;110006.29000000001
2004-01-01;Sudeste/C.Oeste;2753113.1
2004-01-01;Sul;704001.74
2004-01-01;TOTAL COMERCIAL (CATIVO + LIVRE);4244836.92
2004-02-01;Nordeste;512566.92000000004
2004-02-01;Norte;119822.29000000001
2004-02-01;Sistemas Isolados;98496.54999999999
2004-02-01;Sudeste/C.Oeste;2682494.2
2004-02-01;Sul;733894.8599999999
2004-02-01;TOTAL COMERCIAL (CATIVO + LIVRE);4147274.82
2004-03-01;Nordeste;531811.33
2004-03-01;Norte;127718.43
2004-03-01;Sistemas Isolados;101513.53
2004-03-01;Sudeste/C.Oeste;2704362.4900000007
2004-03-01;Sul;738457.06
2004-03-01;TOTAL COMERCIAL (CATIVO + LIVRE);4203862.840000001
2004-04-01;Nordeste;563104.0800000001
2004-04-01;Norte;131366.75999999998
2004-04-01;Sistemas Isolados;104526.78
2004-04-01;Sudeste/C.Oeste;2904506.6599999997
2004-04-01;Sul;743570.47
2004-04-01;TOTAL COMERCIAL (CATIVO + LIVRE);4447074.75
2004-05-01;Nordeste;527662.8500000001
2004-05-01;Norte;134405.99
2004-05-01;Sistemas Isolados;105032.28
2004-05-01;Sudeste/C.Oeste;2642039.4999999995
2004-05-01;Sul;696579.47
2004-05-01;TOTAL COMERCIAL (CATIVO + LIVRE);4105720.09
2004-06-01;Nordeste;531328.1699999999
2004-06-01;Norte;137551.72
2004-06-01;Sistemas Isolados;103868.20000000001
2004-06-01;Sudeste/C.Oeste;2439600.8200000003
2004-06-01;Sul;627651.6600000001
2004-06-01;TOTAL COMERCIAL (CATIVO + LIVRE);3840000.5700000003
2004-07-01;Nordeste;497249.74
2004-07-01;Norte;133558.49
2004-07-01;Sistemas Isolados;108434.45999999999
2004-07-01;Sudeste/C.Oeste;2511337.02
2004-07-01;Sul;636654.44
2004-07-01;TOTAL COMERCIAL (CATIVO + LIVRE);3887234.15
2004-08-01;Nordeste;500262.20999999996
