Data_padrao;Regiao;Valor
2004-01-01;Nordeste;1457591.81
2004-01-01;Norte;1280141.74
2004-01-01;Sistemas Isolados;121151.2
2004-01-01;Sudeste/C.Oeste;7338986.720000002
2004-01-01;Sul;1810980.19
2004-01-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12008851.660000002
2004-02-01;Nordeste;1413202.55
2004-02-01;Norte;1217283.95
2004-02-01;Sistemas Isolados;125465.01999999999
2004-02-01;Sudeste/C.Oeste;7453598.620000001
2004-02-01;Sul;1931866.4300000002
2004-02-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12141416.57
2004-03-01;Nordeste;1514044.79
2004-03-01;Norte;1321858.25
2004-03-01;Sistemas Isolados;131262.91999999998
2004-03-01;Sudeste/C.Oeste;7492216.359999998
2004-03-01;Sul;2149030.63
2004-03-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12608412.949999996
2004-04-01;Nordeste;1506058.05
2004-04-01;Norte;1286067.1400000001
2004-04-01;Sistemas Isolados;130312.79
2004-04-01;Sudeste/C.Oeste;7800090.551
2004-04-01;Sul;2164762.2
2004-04-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12887290.730999999
2004-05-01;Nordeste;1529798.4400000002
2004-05-01;Norte;1343709.62
2004-05-01;Sistemas Isolados;132496.99
2004-05-01;Sudeste/C.Oeste;7661726.65
2004-05-01;Sul;2164980.2199999997
2004-05-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12832711.920000002
2004-06-01;Nordeste;1556041.7199999997
2004-06-01;Norte;1322740.77
2004-06-01;Sistemas Isolados;137601.63
2004-06-01;Sudeste/C.Oeste;7948154.54
2004-06-01;Sul;2143096.96
2004-06-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13107635.620000001
2004-07-01;Nordeste;1594110.73
2004-07-01;Norte;1361651.37
2004-07-01;Sistemas Isolados;143525.63
2004-07-01;Sudeste/C.Oeste;8037603.920000001
2004-07-01;Sul;2169915.3
2004-07-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13306806.95
2004-08-01;Nordeste;1633061.9100000001
2004-08-01;Norte;1411125.24
2004-08-01;Sistemas Isolados;146170.24
2004-08-01;Sudeste/C.Oeste;8178531.65
2004-08-01;Sul;2223451.7399999998
2004-08-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13592340.780000001
2004-09-01;Nordeste;1631989.2
2004-09-01;Norte;1327842.8399999999
2004-09-01;Sistemas Isolados;148436.59
2004-09-01;Sudeste/C.Oeste;8202181.900000001
2004-09-01;Sul;2150364.23
2004-09-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13460814.760000002
2004-10-01;Nordeste;1627862.44
2004-10-01;Norte;1393156.1199999999
2004-10-01;Sistemas Isolados;160103.87
2004-10-01;Sudeste/C.Oeste;8223507.200000001
2004-10-01;Sul;2130103.06
2004-10-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13534732.690000001
2004-11-01;Nordeste;1638651.46
2004-11-01;Norte;1347041.6300000001
2004-11-01;Sistemas Isolados;151873.14
2004-11-01;Sudeste/C.Oeste;8282652.659999999
2004-11-01;Sul;2027557.96
2004-11-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13447776.849999998
2004-12-01;Nordeste;1660236.45
2004-12-01;Norte;1372203.73
2004-12-01;Sistemas Isolados;159282.0
2004-12-01;Sudeste/C.Oeste;8204295.96
2004-12-01;Sul;1995865.76
2004-12-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13391883.9
2005-01-01;Nordeste;1595238.9
2005-01-01;Norte;1359382.87
