Data_padrao;Regiao;Valor
2004-01-01;Nordeste;703465.2000000001
2004-01-01;Norte;139875.03
2004-01-01;Sistemas Isolados;106199.60999999999
2004-01-01;Sudeste/C.Oeste;2131824.02
2004-01-01;Sul;862625.1
2004-01-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3943988.9600000004
2004-02-01;Nordeste;599864.17
2004-02-01;Norte;140110.96
2004-02-01;Sistemas Isolados;110013.07
2004-02-01;Sudeste/C.Oeste;2037756.8100000003
2004-02-01;Sul;902496.09
2004-02-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3790241.1
2004-03-01;Nordeste;618399.0
2004-03-01;Norte;136417.43
2004-03-01;Sistemas Isolados;109451.28
2004-03-01;Sudeste/C.Oeste;2104192.3600000003
2004-03-01;Sul;903255.3899999999
2004-03-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3871715.46
2004-04-01;Nordeste;654047.4000000001
2004-04-01;Norte;145922.11000000002
2004-04-01;Sistemas Isolados;117922.70999999999
2004-04-01;Sudeste/C.Oeste;2151986.7
2004-04-01;Sul;832931.4000000001
2004-04-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3902810.3200000003
2004-05-01;Nordeste;668684.93
2004-05-01;Norte;144101.52000000002
2004-05-01;Sistemas Isolados;113053.26000000001
2004-05-01;Sudeste/C.Oeste;2123529.51
2004-05-01;Sul;779363.8999999999
2004-05-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3828733.1199999996
2004-06-01;Nordeste;675068.66
2004-06-01;Norte;149156.54
2004-06-01;Sistemas Isolados;117575.99000000002
2004-06-01;Sudeste/C.Oeste;2173467.8499999996
2004-06-01;Sul;728964.81
2004-06-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);3844233.8499999996
2004-07-01;Nordeste;657543.49
2004-07-01;Norte;148927.28000000003
2004-07-01;Sistemas Isolados;116434.57999999999
2004-07-01;Sudeste/C.Oeste;2211068.89
2004-07-01;Sul;725518.31
