Data_padrao;Regiao;Valor
2004-01-01;Nordeste;1009931.36
2004-01-01;Norte;245912.41999999998
2004-01-01;Sistemas Isolados;199809.23
2004-01-01;Sudeste/C.Oeste;4192521.46
2004-01-01;Sul;1132506.01
2004-01-01;TOTAL RESIDENCIAL;6780680.4799999995
2004-02-01;Nordeste;919073.8400000001
2004-02-01;Norte;230353.63
2004-02-01;Sistemas Isolados;181937.51
2004-02-01;Sudeste/C.Oeste;3975902.8200000008
2004-02-01;Sul;1121970.48
2004-02-01;TOTAL RESIDENCIAL;6429238.280000001
2004-03-01;Nordeste;964784.4399999998
2004-03-01;Norte;229864.27
2004-03-01;Sistemas Isolados;183243.78999999998
2004-03-01;Sudeste/C.Oeste;4114418.3400000003
2004-03-01;Sul;1108027.32
2004-03-01;TOTAL RESIDENCIAL;6600338.16
2004-04-01;Nordeste;1009821.61
2004-04-01;Norte;250471.83000000002
2004-04-01;Sistemas Isolados;185522.19
2004-04-01;Sudeste/C.Oeste;4231143.85
2004-04-01;Sul;1132047.07
2004-04-01;TOTAL RESIDENCIAL;6809006.55
2004-05-01;Nordeste;945780.8400000001
2004-05-01;Norte;242233.22
2004-05-01;Sistemas Isolados;185742.21000000002
2004-05-01;Sudeste/C.Oeste;4021482.510000001
2004-05-01;Sul;1082102.57
2004-05-01;TOTAL RESIDENCIAL;6477341.3500000015
2004-06-01;Nordeste;915753.8899999999
2004-06-01;Norte;246515.78000000003
2004-06-01;Sistemas Isolados;180303.8
2004-06-01;Sudeste/C.Oeste;3891667.84
2004-06-01;Sul;1056850.1300000001
2004-06-01;TOTAL RESIDENCIAL;6291091.4399999995
2004-07-01;Nordeste;885059.6400000001
2004-07-01;Norte;236277.18
2004-07-01;Sistemas Isolados;184593.12
2004-07-01;Sudeste/C.Oeste;3919836.24
2004-07-01;Sul;1066704.8399999999
2004-07-01;TOTAL RESIDENCIAL;6292471.0200000005
2004-08-01;Nordeste;875228.74
2004-08-01;Norte;250972.8
2004-08-01;Sistemas Isolados;183766.19999999998
2004-08-01;Sudeste/C.Oeste;3924317.0000000005
2004-08-01;Sul;1070192.4
2004-08-01;TOTAL RESIDENCIAL;6304477.140000001
2004-09-01;Nordeste;949753.12
2004-09-01;Norte;253397.0
2004-09-01;Sistemas Isolados;198490.62
2004-09-01;Sudeste/C.Oeste;4102192.03
2004-09-01;Sul;1100557.28
2004-09-01;TOTAL RESIDENCIAL;6604390.05
2004-10-01;Nordeste;956482.72
2004-10-01;Norte;251008.96000000002
2004-10-01;Sistemas Isolados;201236.26
2004-10-01;Sudeste/C.Oeste;4128307.7300000004
2004-10-01;Sul;1069478.3299999998
2004-10-01;TOTAL RESIDENCIAL;6606514.0
2004-11-01;Nordeste;993362.91
2004-11-01;Norte;256041.33
2004-11-01;Sistemas Isolados;205321.22000000003
2004-11-01;Sudeste/C.Oeste;4104974.9400000004
2004-11-01;Sul;1071489.88
2004-11-01;TOTAL RESIDENCIAL;6631190.28
2004-12-01;Nordeste;1015897.7100000001
2004-12-01;Norte;253338.2
2004-12-01;Sistemas Isolados;200048.70999999996
2004-12-01;Sudeste/C.Oeste;4073519.58
2004-12-01;Sul;1100567.13
2004-12-01;TOTAL RESIDENCIAL;6643371.33
2005-01-01;Nordeste;1072097.33
2005-01-01;Norte;259400.54
2005-01-01;Sistemas Isolados;200545.52
2005-01-01;Sudeste/C.Oeste;4391778.68
2005-01-01;Sul;1194715.7600000002
2005-01-01;TOTAL RESIDENCIAL;7118537.83
2005-02-01;Nordeste;1044013.13
2005-02-01;Norte;241104.0
2005-02-01;Sistemas Isolados;192410.44
2005-02-01;Sudeste/C.Oeste;4119141.33
2005-02-01;Sul;1161664.2799999998
2005-02-01;TOTAL RESIDENCIAL;6758333.18
2005-03-01;Nordeste;1048940.4500000002
2005-03-01;Norte;244313.19
2005-03-01;Sistemas Isolados;194901.02
2005-03-01;Sudeste/C.Oeste;4221997.489999999
2005-03-01;Sul;1155063.52
2005-03-01;TOTAL RESIDENCIAL;6865215.67
2005-04-01;Nordeste;1054932.33
2005-04-01;Norte;254058.09999999998
2005-04-01;Sistemas Isolados;196886.59
2005-04-01;Sudeste/C.Oeste;4445827.28
2005-04-01;Sul;1180033.8599999999
2005-04-01;TOTAL RESIDENCIAL;7131738.16
2005-05-01;Nordeste;1028520.9800000001
2005-05-01;Norte;251897.19
2005-05-01;Sistemas Isolados;186639.03000000003
