Data_padrao;SÃO PAULO;Valor
2004-01-01;COMERCIAL;1464892.15
2004-01-01;INDUSTRIAL;3499333.91
2004-01-01;OUTROS;937538.01
2004-01-01;RESIDENCIAL;2074540.8800000001
2004-01-01;TOTAL;7976304.95
2004-02-01;COMERCIAL;1421227.88
2004-02-01;INDUSTRIAL;3641580.49
2004-02-01;OUTROS;875586.1399999999
2004-02-01;RESIDENCIAL;1980655.12
2004-02-01;TOTAL;7919049.63
2004-03-01;COMERCIAL;1416475.73
2004-03-01;INDUSTRIAL;3677373.42
2004-03-01;OUTROS;964620.2999999999
2004-03-01;RESIDENCIAL;2058328.0899999999
2004-03-01;TOTAL;8116797.54
2004-04-01;COMERCIAL;1579355.76
2004-04-01;INDUSTRIAL;3913242.1899999995
2004-04-01;OUTROS;960806.2300000001
2004-04-01;RESIDENCIAL;2169642.61
2004-04-01;TOTAL;8623046.79
2004-05-01;COMERCIAL;1386690.4600000002
2004-05-01;INDUSTRIAL;3753889.16
2004-05-01;OUTROS;914846.5599999999
2004-05-01;RESIDENCIAL;2041061.68
2004-05-01;TOTAL;8096487.8599999985
2004-06-01;COMERCIAL;1280006.82
2004-06-01;INDUSTRIAL;3936932.4099999997
2004-06-01;OUTROS;935258.7999999999
2004-06-01;RESIDENCIAL;2039384.38
2004-06-01;TOTAL;8191582.41
2004-07-01;COMERCIAL;1348601.7099999997
2004-07-01;INDUSTRIAL;3953979.88
2004-07-01;OUTROS;933151.32
2004-07-01;RESIDENCIAL;2066713.34
2004-07-01;TOTAL;8302446.250000001
2004-08-01;COMERCIAL;1324733.3099999998
2004-08-01;INDUSTRIAL;4052294.36
2004-08-01;OUTROS;937345.7100000001
2004-08-01;RESIDENCIAL;2074704.65
2004-08-01;TOTAL;8389078.030000001
2004-09-01;COMERCIAL;1430715.57
2004-09-01;INDUSTRIAL;4120856.2699999996
2004-09-01;OUTROS;931372.98
2004-09-01;RESIDENCIAL;2122526.57
2004-09-01;TOTAL;8605471.39
2004-10-01;COMERCIAL;1455419.3699999999
2004-10-01;INDUSTRIAL;4128933.33
2004-10-01;OUTROS;1075936.97
2004-10-01;RESIDENCIAL;2117323.09
2004-10-01;TOTAL;8777612.760000002
2004-11-01;COMERCIAL;1438769.0200000003
2004-11-01;INDUSTRIAL;4092032.16
2004-11-01;OUTROS;969220.1299999999
2004-11-01;RESIDENCIAL;2107765.41
2004-11-01;TOTAL;8607786.72
2004-12-01;COMERCIAL;1475363.3299999998
2004-12-01;INDUSTRIAL;4054099.2399999993
2004-12-01;OUTROS;973321.14
2004-12-01;RESIDENCIAL;2040860.4
2004-12-01;TOTAL;8543644.110000001
2005-01-01;COMERCIAL;1502671.15
2005-01-01;INDUSTRIAL;3691575.32
2005-01-01;OUTROS;924587.22
2005-01-01;RESIDENCIAL;2186011.6
2005-01-01;TOTAL;8304845.290000001
